,Data,Cota,Variação,fund_id,PL
92,2012-07-18,1.0532584,0.001678565,26,3505496.13
93,2012-07-19,1.0609062,0.0072610862,26,3530949.75
94,2012-07-20,1.0622464,0.0012632597,26,3535410.16
95,2012-07-23,1.0671304,0.0045978033,26,3551665.45
96,2012-07-24,1.0657393,-0.0013035895,26,3547035.44
97,2012-07-25,1.0673751,0.0015348969,26,3552479.76
98,2012-07-26,1.0655346,-0.0017243235,26,3546354.15
99,2012-07-27,1.0582997,-0.006789925,26,3522274.74
100,2012-07-30,1.0624204,0.0038936985,26,3535989.43
101,2012-07-31,1.0661942,0.0035520779,26,3548549.5
102,2012-08-01,1.0655506,-0.0006036424,26,3546407.48
103,2012-08-02,1.0685051,0.0027727449,26,3556240.71
104,2012-08-03,1.0681036,-0.0003757586,26,3534720.91
105,2012-08-06,1.0672319,-0.0008161193,26,3531836.19
106,2012-08-07,1.069707,0.0023191773,26,3540027.14
107,2012-08-08,1.0560075,-0.0128067779,26,3494690.83
108,2012-08-09,1.0636859,0.0072711605,26,3520101.48
109,2012-08-10,1.0635679,-0.000110935,26,3519710.66
110,2012-08-13,1.069659,0.0057270438,26,3539868.33
111,2012-08-14,1.0740152,0.0040725128,26,3554284.59
112,2012-08-15,1.0715153,-0.0023276207,26,3546011.35
113,2012-08-16,1.0672352,-0.0039944367,26,3531847.07
114,2012-08-17,1.069323,0.0019562698,26,3538756.3
115,2012-08-20,1.07128,0.0018301299,26,3545232.85
116,2012-08-21,1.071601,0.0002996416,26,3546295.03
117,2012-08-22,1.0719403,0.000316629,26,3547417.84
118,2012-08-23,1.0722427,0.0002821053,26,3548418.86
119,2012-08-24,1.0724225,0.0001676859,26,3549013.76
120,2012-08-27,1.0726883,0.0002478501,26,3549893.46
121,2012-08-28,1.072966,0.0002588823,26,3550812.47
122,2012-08-29,1.0732551,0.00026944,26,3551769.0
123,2012-08-30,1.0735254,0.0002518507,26,3552663.52
124,2012-08-31,1.0737693,0.0002271954,26,3553470.59
125,2012-09-03,1.0740152,0.0002290064,26,3554284.62
126,2012-09-04,1.0742654,0.0002329576,26,3555112.38
127,2012-09-05,1.0745154,0.0002327172,26,3555939.97
128,2012-09-06,1.0747543,0.0002223328,26,3576730.32
129,2012-09-10,1.0750157,0.0002432184,26,3577600.24
130,2012-09-11,1.075268,0.0002346942,26,3578440.01
131,2012-09-12,1.0755351,0.0002484032,26,3579328.99
132,2012-09-13,1.0757943,0.0002409963,26,3580191.64
133,2012-09-14,1.0760558,0.0002430762,26,3581061.84
134,2012-09-17,1.076321,0.0002464556,26,3581944.38
135,2012-09-18,1.076564,0.0002257691,26,3582753.08
136,2012-09-19,1.0768255,0.0002429024,26,3583623.27
137,2012-09-20,1.0770871,0.0002429363,26,3584493.74
138,2012-09-21,1.0773526,0.0002464982,26,3585377.48
139,2012-09-24,1.0776182,0.0002465302,26,3586261.27
140,2012-09-25,1.0778838,0.0002464695,26,3587145.44
141,2012-09-26,1.0781462,0.00024344,26,3588018.68
142,2012-09-27,1.0784122,0.0002467198,26,3588903.74
143,2012-09-28,1.0786819,0.0002500899,26,3589801.4
144,2012-10-01,1.0780266,-0.0006075007,26,3587620.48
145,2012-10-02,1.0783038,0.0002571365,26,3588542.88
146,2012-10-03,1.0785931,0.0002682917,26,3589505.93
147,2012-10-04,1.0788874,0.0002728554,26,3590485.3
148,2012-10-05,1.0791801,0.000271298,26,3591459.22
149,2012-10-08,1.0795269,0.0003213551,26,3592613.39
150,2012-10-09,1.0798332,0.0002837354,26,3593632.77
151,2012-10-10,1.0800153,0.0001686372,26,3594238.88
152,2012-10-11,1.0803371,0.0002979587,26,3595309.84
153,2012-10-15,1.0806138,0.0002561238,26,3596230.59
154,2012-10-16,1.08091,0.0002741035,26,3597216.39
155,2012-10-17,1.0808382,-0.00006.64255,26,3596977.35
156,2012-10-18,1.0804275,-0.0003799829,26,3815610.61
157,2012-10-19,1.0809817,0.0005129451,26,4167567.7
158,2012-10-22,1.0815236,0.0005013036,26,4169657.1
159,2012-10-23,1.0822452,0.0006672069,26,4172439.01
160,2012-10-24,1.0820806,-0.0001520912,26,4171804.4
161,2012-10-25,1.0791989,-0.0026631103,26,4160694.36
162,2012-10-26,1.0793479,0.0001380654,26,4161268.76
163,2012-10-29,1.0802036,0.0007927935,26,4164568.04
164,2012-10-30,1.0813446,0.0010562824,26,4168967.02
165,2012-10-31,1.0810071,-0.0003121114,26,4167665.61
166,2012-11-01,1.0808236,-0.0001697491,26,4166958.18
167,2012-11-05,1.0807639,-0.0000552357,26,4166728.25
168,2012-11-06,1.0778775,-0.0026707036,26,4155600.08
169,2012-11-07,1.0755969,-0.0021158249,26,4146807.58
170,2012-11-08,1.0797643,0.0038744998,26,4162874.12
171,2012-11-09,1.0791889,-0.0005328941,26,4160655.8
172,2012-11-12,1.080497,0.001212114,26,4165698.95
173,2012-11-13,1.0806989,0.0001868585,26,4166477.4
174,2012-11-14,1.0812362,0.0004971783,26,4168548.99
175,2012-11-16,1.0804996,-0.0006812572,26,4165709.23
176,2012-11-19,1.0839733,0.0032149017,26,4179101.48
177,2012-11-20,1.0847398,0.0007071207,26,4182056.59
178,2012-11-21,1.0860572,0.0012144848,26,4187135.6
179,2012-11-22,1.0893362,0.003019178,26,4199777.51
180,2012-11-23,1.0704562,-0.0173316557,26,4096750.69
181,2012-11-26,1.0705475,0.0000852907,26,4097100.29
182,2012-11-27,1.0660941,-0.0041599275,26,4080056.7
183,2012-11-28,1.0715028,0.0050733795,26,4100756.35
184,2012-11-29,1.0794809,0.0074457108,26,4131289.53
185,2012-11-30,1.099553,0.0185942151,26,4176575.19
186,2012-12-03,1.0979748,-0.0014353105,26,4170580.62
187,2012-12-04,1.0926911,-0.0048122234,26,4150510.57
188,2012-12-05,1.0614818,-0.0285618689,26,4031964.34
189,2012-12-06,1.0748636,0.0126067164,26,4082794.02
190,2012-12-07,1.0636794,-0.0104052272,26,4040311.62
191,2012-12-10,1.060799,-0.0027079588,26,4029370.77
192,2012-12-11,1.0547995,-0.0056556426,26,4006582.02
193,2012-12-12,1.0594741,0.0044317427,26,4024338.09
194,2012-12-13,1.0604936,0.0009622699,26,4028210.73
195,2012-12-14,1.045714,-0.0139365292,26,3972071.36
196,2012-12-17,1.0452561,-0.0004378826,26,3970332.19
197,2012-12-18,1.042503,-0.0026339,26,3959874.71
198,2012-12-19,1.033838,-0.0083117267,26,3926961.27
199,2012-12-20,1.0213161,-0.0121120524,26,3879397.71
200,2012-12-21,1.0263068,0.0048865381,26,3898354.48
201,2012-12-24,1.0273376,0.001004378,26,3902269.97
202,2012-12-26,1.0432236,0.0154632713,26,3962611.94
203,2012-12-27,1.0504175,0.0068958371,26,3989937.43
204,2012-12-28,1.0544721,0.003859989,26,4005338.65
205,2012-12-31,1.0562424,0.0016788495,26,4012063.03
206,2013-01-02,1.0418027,-0.0136708203,26,3957214.54
207,2013-01-03,1.0467556,0.0047541631,26,3976027.78
208,2013-01-04,1.0582321,0.0109638773,26,4019620.67
209,2013-01-07,1.068688,0.0098805357,26,4059336.7
210,2013-01-08,1.0699257,0.0011581491,26,4064037.9
211,2013-01-09,1.0685925,-0.0012460678,26,4058973.75
212,2013-01-10,1.0696947,0.0010314502,26,4063160.34
213,2013-01-11,1.0717777,0.0019472846,26,4071072.63
214,2013-01-14,1.075894,0.0038406285,26,4086708.28
215,2013-01-15,1.0770293,0.0010552155,26,4091020.63
216,2013-01-16,1.0698857,-0.0066326886,26,4063886.18
217,2013-01-17,1.0743621,0.0041839983,26,4080889.27
218,2013-01-18,1.074049,-0.0002914287,26,4079700.09
219,2013-01-21,1.0760926,0.0019027065,26,4087462.65
220,2013-01-22,1.0772724,0.001096374,26,4091943.69
221,2013-01-23,1.0834471,0.0057317908,26,4115398.13
222,2013-01-24,1.0922518,0.008126562,26,4148842.06
223,2013-01-25,1.0925322,0.0002567174,26,4149906.99
224,2013-01-28,1.1129142,0.0186557431,26,4227326.67
225,2013-01-29,1.1216948,0.0078897367,26,4260679.16
226,2013-01-30,1.1176604,-0.0035967003,26,4245354.86
227,2013-01-31,1.1227569,0.0045599719,26,4264713.44
228,2013-02-01,1.1189634,-0.0033787368,26,4250304.39
229,2013-02-04,1.1188248,-0.0001238646,26,4249777.68
230,2013-02-05,1.1254319,0.0059053929,26,4254692.32
231,2013-02-06,1.1246685,-0.0006783174,26,4251806.35
232,2013-02-07,1.1367328,0.0107269831,26,4297415.44
233,2013-02-08,1.1363683,-0.0003206558,26,4296037.68
234,2013-02-13,1.1384237,0.0018087446,26,4303808.02
235,2013-02-14,1.1412838,0.0025123335,26,4314620.66
236,2013-02-15,1.1464089,0.0044906447,26,4333995.83
237,2013-02-18,1.1535119,0.0061958696,26,4360848.82
238,2013-02-19,1.155609,0.0018180133,26,4368776.99
239,2013-02-20,1.1514227,-0.0036225921,26,4352950.69
240,2013-02-21,1.1421012,-0.0080956368,26,4317710.72
